date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2010-03-29,20100458,Walgreens Co.,"Duane Reade Shareholders, LLC","Duane Reade Holdings, Inc.","20100458: Walgreens Co.; Duane Reade Shareholders, LLC"
2010-03-23,20100453,"Holly Energy Partners, L.P.",Holly Corporation,"Holly Refining & Marketing - Tulsa LLC; Navajo Refining Company, L.L.C.","20100453: Holly Energy Partners, L.P.; Holly Corporation"
2010-03-15,20100455,Fairfax Financial Holdings Limited,Zenith National Insurance Corp.,Zenith National Insurance Corp.,20100455: Fairfax Financial Holdings Limited; Zenith National Insurance Corp.
2010-04-02,20100512,"Apax US VII, L.P.",Phillips-Van Heusen Corporation,Phillips-Van Heusen Corporation,"20100512: Apax US VII, L.P.; Phillips-Van Heusen Corporation"
2010-04-19,20100572,"Communications Infrastructure Investments, LLC",AGL Resources Inc.,"AGL Networks, LLC","20100572: Communications Infrastructure Investments, LLC; AGL Resources Inc."
2010-04-08,20100545,"Affiliated Managers Group, Inc.",The Northwestern Mutual Life Insurance Company,Pantheon Capital (Asia) Limited; Pantheon Holdings Limited; Pantheon Ventures Inc.,"20100545: Affiliated Managers Group, Inc.; The Northwestern Mutual Life Insurance Company"
2010-04-02,20100511,"Apax Europe VI-A, L.P.",Phillips-Van Heusen Corporation,Phillips-Van Heusen Corporation,"20100511: Apax Europe VI-A, L.P.; Phillips-Van Heusen Corporation"
2010-04-23,20100607,Apache Corporation,Devon Energy Corporation,"Bonito Pipe Line Company; Devon Energy Petroleum Pipeline Company; Devon Energy Production Company, L.P.",20100607: Apache Corporation; Devon Energy Corporation
2010-04-19,20100571,"ABRY Partners VI, L.P.","Automated HealthCare Solutions, LLC","Automated HealthCare Solutions, LLC","20100571: ABRY Partners VI, L.P.; Automated HealthCare Solutions, LLC"
2010-04-08,20100543,Perrigo Company,Paul B. Manning,"PBM Holdings, Inc.; PBM Nutritionals, LLC",20100543: Perrigo Company; Paul B. Manning
2010-04-02,20100510,Phillips-Van Heusen Corporation,"Apax Europe VI-A, L.P.",Tommy Hilfiger B.V.; Tommy Hilfiger US Inc.,"20100510: Phillips-Van Heusen Corporation; Apax Europe VI-A, L.P."
2010-04-23,20100601,"BHR Capital Holdings, L.L.C.","Six Flags, Inc.","Six Flags, Inc.","20100601: BHR Capital Holdings, L.L.C.; Six Flags, Inc."
2010-04-16,20100563,Wells Fargo & Company,GMAC Inc.,GMAC Commercial Finance LLC,20100563: Wells Fargo & Company; GMAC Inc.
2010-04-06,20100547,CHS Private Equity V LP,"Audax Private Equity Fund II, L.P.",Thermon Holding Corp.,"20100547: CHS Private Equity V LP; Audax Private Equity Fund II, L.P."
2010-04-02,20100508,"ABRY Partners VI, L.P.",RCN Corporation,RCN Corporation,"20100508: ABRY Partners VI, L.P.; RCN Corporation"
2010-04-23,20100600,"H Partners, LP","Six Flags, Inc.","Six Flags, Inc.","20100600: H Partners, LP; Six Flags, Inc."
2010-04-15,20100544,"LNK Partners, L.P.",Phillips-Van Heusen Corporation,Phillips-Van Heusen Corporation,"20100544: LNK Partners, L.P.; Phillips-Van Heusen Corporation"
2010-04-06,20100538,Jian Zhao,"Texas Seamless, LLC","Texas Seamless, LLC","20100538: Jian Zhao; Texas Seamless, LLC"
2010-04-23,20100599,"Oak Hill Capital Partners III, L.P.","RNB Communications, Inc.","RNB Communications, Inc.","20100599: Oak Hill Capital Partners III, L.P.; RNB Communications, Inc."
2010-04-14,20100546,"Leap Wireless International, Inc.","STX  Wireless, LLC","STX  Wireless, LLC","20100546: Leap Wireless International, Inc.; STX Wireless, LLC"
2010-04-05,20100548,The Chubb Corporation,Max Capital Group Ltd.,Max Capital Group Ltd.,20100548: The Chubb Corporation; Max Capital Group Ltd.
2010-05-17,20100618,Adventist Health System Sunbelt Healthcare Corporation,"University Community Hospital, Inc.","University Community Hospital, Inc.","20100618: Adventist Health System Sunbelt Healthcare Corporation; University Community Hospital, Inc."
2010-05-07,20100646,"GTCR Fund IX/A, L.P.",Johnson & Johnson,"Artemis Medical, Inc.; Ethicon Endo-Surgery","20100646: GTCR Fund IX/A, L.P.; Johnson & Johnson"
2010-04-30,20100614,"Kinder Morgan Energy Partners, L.P.",KinderHawk Field Services LLC,KinderHawk Field Services LLC,"20100614: Kinder Morgan Energy Partners, L.P.; KinderHawk Field Services LLC"
2010-05-14,20100678,"Thomas H. Lee Parallel Fund VI, L.P.",Sterling Financial Corporation,Sterling Financial Corporation,"20100678: Thomas H. Lee Parallel Fund VI, L.P.; Sterling Financial Corporation"
2010-05-07,20100639,"Friedman Fleischer & Lowe Capital Partners, L.P.","Friedman Fleischer & Lowe Capital Partners II, L.P.","KS II Holdings, Inc.","20100639: Friedman Fleischer & Lowe Capital Partners, L.P.; Friedman Fleischer & Lowe Capital Partners II, L.P."
2010-04-30,20100612,"SandRidge Energy, Inc.","Arena Resources, Inc.","Arena Resources, Inc.","20100612: SandRidge Energy, Inc.; Arena Resources, Inc."
2010-05-14,20100677,"Thomas H. Lee Equity Fund VI, L.P.",Sterling Financial Corporation,Sterling Financial Corporation,"20100677: Thomas H. Lee Equity Fund VI, L.P.; Sterling Financial Corporation"
2010-05-07,20100637,"Oak Hill Capital Partners III, L.P.",Code Hennessy & Simmons IV LP,"The Hillman Companies, Inc.","20100637: Oak Hill Capital Partners III, L.P.; Code Hennessy & Simmons IV LP"
2010-04-29,20100609,Halliburton Company,"Boots & Coots, Inc.","Boots & Coots, Inc.","20100609: Halliburton Company; Boots & Coots, Inc."
2010-05-14,20100663,"Iconix Brand Group, Inc.",The Edward W. Scripps Trust,"Character Licensing, LLC","20100663: Iconix Brand Group, Inc.; The Edward W. Scripps Trust"
2010-05-07,20100636,Ceres Global Ag Corp.,Whitebox Commodities Holding Corporation,Whitebox Commodities Holding Corporation,20100636: Ceres Global Ag Corp.; Whitebox Commodities Holding Corporation
2010-04-29,20100605,Brookfield Special Situations II L.P.,Ainsworth Lumber Co. Ltd.,Ainsworth Lumber Co. Ltd.,20100605: Brookfield Special Situations II L.P.; Ainsworth Lumber Co. Ltd.
2010-05-14,20100662,"Oak Hill Capital Partners III, L.P.","Wellspring Capital Partners III, L.P.","Dave & Buster's Holdings, Inc.","20100662: Oak Hill Capital Partners III, L.P.; Wellspring Capital Partners III, L.P."
2010-05-07,20100630,Emera Inc.,Maine & Maritimes Corporation,Maine & Maritimes Corporation,20100630: Emera Inc.; Maine & Maritimes Corporation
2010-04-29,20100566,Armor TPG Holdings LLC,"Armstrong World Industries, Inc. Asbestos Personal Injury","Armstrong World Industries, Inc.","20100566: Armor TPG Holdings LLC; Armstrong World Industries, Inc. Asbestos Personal Injury"
2010-05-14,20100659,Theodore J. Leonsis,Washington Sports & Equipment Limited Partnership,Washington Sports & Equipment Limited Partnership,20100659: Theodore J. Leonsis; Washington Sports & Equipment Limited Partnership
2010-05-07,20100608,Covenant Health,Morristown-Hamblen Hospital Association,Morristown-Hamblen Healthcare System,20100608: Covenant Health; Morristown-Hamblen Hospital Association
2010-04-28,20100606,AIG Credit Facility Trust,Prudential plc,Prudential Group Limited,20100606: AIG Credit Facility Trust; Prudential plc
2010-05-14,20100655,Danaher Corporation,Thoratec Corporation,International Technidyne Corporation,20100655: Danaher Corporation; Thoratec Corporation
2010-05-05,20100604,"JANA Master Fund, Ltd.",Questar Corporation,Questar Corporation,"20100604: JANA Master Fund, Ltd.; Questar Corporation"
2010-04-27,20100588,Apple Inc.,"Siri, Inc.","Siri, Inc.","20100588: Apple Inc.; Siri, Inc."
2010-05-14,20100493,MSCI Inc.,"RiskMetrics Group, Inc.","RiskMetrics Group, Inc,","20100493: MSCI Inc.; RiskMetrics Group, Inc."
2010-05-05,20100603,"Maxim Integrated Products, Inc.","Golden Gate Capital Investment Fund II, L.P.",Teridian Semiconductor Holdings Corporation,"20100603: Maxim Integrated Products, Inc.; Golden Gate Capital Investment Fund II, L.P."
2010-04-27,20100454,David Black,"Gannett Co., Inc.","Gannett Pacific Corporation, Inc.; Gannett Satellite Information Network, Inc.; HawaiiTourism, LLC; Indiana Newspapers, Inc.; The Courier-Journal, Inc.","20100454: David Black; Gannett Co., Inc."
2010-05-14,20090667,"Agilent Technologies, Inc.","Varian, Inc.","Varian, Inc.","20090667: Agilent Technologies, Inc.; Varian, Inc."
2010-05-03,20100631,Apache Corporation,"Mariner Energy, Inc.","Mariner Energy, Inc.","20100631: Apache Corporation; Mariner Energy, Inc."
2010-04-26,20100602,Vallourec SA,"Lime Rock Partners II, L.P.","Serimax Holdings, S.A.S.","20100602: Vallourec SA; Lime Rock Partners II, L.P."
2010-05-13,20100650,Aurora Resurgence Fund  (C) L.P.,Alexey Mordashov,Newco,20100650: Aurora Resurgence Fund (C) L.P.; Alexey Mordashov
2010-05-03,20100628,"Warburg Pincus Private Equity X, L.P.",AmRest Holdings SE,AmRest Holdings SE,"20100628: Warburg Pincus Private Equity X, L.P.; AmRest Holdings SE"
2010-04-26,20100598,AEA Investors 2006 Fund L.P.,"HMG Holdings, LLC","HMG Holdings, LLC","20100598: AEA Investors 2006 Fund L.P.; HMG Holdings, LLC"
2010-05-18,20100680,Shield Topco S.a.r.l.,Sophos plc,Sophos plc,20100680: Shield Topco S.a.r.l.; Sophos plc
2010-05-11,20100658,"ZHA FLNG, LLC","Freeport LNG Development, L.P.","Freeport LNG Development, L.P.","20100658: ZHA FLNG, LLC; Freeport LNG Development, L.P."
2010-06-03,20100702,"LifePoint Hospitals, Inc.","Sumner Regional Health Systems, Inc.","ClinicCare, LLC; Family Wellness Group of Middle Tennessee, LLC; Frank T. Rutherford Memorial Hospital, Inc.; Patient Partners, LLC; SRHS Holdings, LLC; SST Community Health, LLC; Sumner Homecare and Hospice, LLC; Trousdale Medical Center, Inc.; Wellness, Inc.","20100702: LifePoint Hospitals, Inc.; Sumner Regional Health Systems, Inc."
2010-05-28,20100707,Providence Equity Partners VI-A L.P.,Dayton-Cox Trust A,"AutoTrader.com, Inc.",20100707: Providence Equity Partners VI-A L.P.; Dayton-Cox Trust A
2010-05-21,20100688,"Apollo Investment Fund VII, L.P.","CKE Restaurants, Inc.","CKE Restaurants, Inc.","20100688: Apollo Investment Fund VII, L.P.; CKE Restaurants, Inc."
2010-06-01,20100730,"Providence Equity Partners VI, L.P.",Virtual Radiologic Corporation,Virtual Radiologic Corporation,"20100730: Providence Equity Partners VI, L.P.; Virtual Radiologic Corporation"
2010-05-28,20100706,Providence Equity Partners VI L.P.,Dayton-Cox Trust A,"AutoTrader.com, Inc.",20100706: Providence Equity Partners VI L.P.; Dayton-Cox Trust A
2010-05-21,20100682,"Court Square Partners II, L.P.","RWD Technologies Holdings, LLC","RWD Technologies, LLC","20100682: Court Square Partners II, L.P.; RWD Technologies Holdings, LLC"
2010-06-01,20100728,"NRG Energy, Inc.",Pinnacle West Capital Corporation,"Northwind Phoenix, LLC","20100728: NRG Energy, Inc.; Pinnacle West Capital Corporation"
2010-05-28,20100686,Bank of America Corporation,Microsoft Corporation,Microsoft Corporation,20100686: Bank of America Corporation; Microsoft Corporation
2010-05-21,20100681,KAG Holding Corp.,Kenan Advantage Group Holdings Corp.,Kenan Advantage Group Holdings Corp.,20100681: KAG Holding Corp.; Kenan Advantage Group Holdings Corp.
2010-06-01,20100727,"Leonard A, Lauder","SBX, LLC",SBX Holding Company,"20100727: Leonard A, Lauder; SBX, LLC"
2010-05-27,20100704,Castle Harlan Partners V  L.P.,"IDQ Holdings, Inc.","IDQ Holdings, Inc.","20100704: Castle Harlan Partners V L.P.; IDQ Holdings, Inc."
2010-05-21,20100671,"Industrial Alliance Insurance and Financial Services, Inc.","Thoma Cressey Fund VI, L.P.","American-Amicable Holding, Inc.","20100671: Industrial Alliance Insurance and Financial Services, Inc.; Thoma Cressey Fund VI, L.P."
2010-06-01,20100723,"Thomas H. Lee Equity Fund VI, L.P.","inVentiv Health, Inc.","inVentiv Health, Inc.","20100723: Thomas H. Lee Equity Fund VI, L.P.; inVentiv Health, Inc."
2010-05-27,20100683,"Jack Henry & Associates, Inc.","SEI V iPay AIV, L.P.","iPay Technologies, LLC","20100683: Jack Henry & Associates, Inc.; SEI V iPay AIV, L.P."
2010-05-21,20100654,AIG Credit Facility Trust,"MetLife, Inc.","MetLife, Inc.","20100654: AIG Credit Facility Trust; MetLife, Inc."
2010-06-01,20100722,"Mill Road Capital, L.P.","Rubio's Restaurants, Inc.","Rubio's Restaurants, Inc.","20100722: Mill Road Capital, L.P.; Rubio's Restaurants, Inc."
2010-05-27,20100661,"Brown Shoe Company, Inc.",Samuel and Louise Edelman,"Edelman Shoe, Inc.","20100661: Brown Shoe Company, Inc.; Samuel and Louise Edelman"
2010-05-21,20100634,"Columbus Topco Holdings, Inc.","Fidelity Sedgwick Holdings, Inc.","Fidelity Sedgwick Holdings, Inc.","20100634: Columbus Topco Holdings, Inc.; Fidelity Sedgwick Holdings, Inc."
2010-06-25,20100830,Alaska USA Federal Credit Union,Arrowhead Central Credit Union,Arrowhead Central Credit Union,20100830: Alaska USA Federal Credit Union; Arrowhead Central Credit Union
2010-06-22,20100770,BAE Systems plc,"JFL-AMH Co-Invest Partners, L.P.",Atlantic Marine Holding Company,"20100770: BAE Systems plc; JFL-AMH Co-Invest Partners, L.P."
2010-06-16,20100753,"St. Jude Medical, Inc.","Goodman Co., Ltd.","LightLab Imaging, Inc.","20100753: St. Jude Medical, Inc.; Goodman Co., Ltd."
2010-06-07,20100751,Alliance Data Systems Corporation,Equifax Inc.,Equifax Inc.,20100751: Alliance Data Systems Corporation; Equifax Inc.
2010-06-25,20100829,Global Partners LP,Exxon Mobil Corporation,Exxon Mobil Corporation,20100829: Global Partners LP; Exxon Mobil Corporation
2010-06-21,20100822,"Thoma Bravo Fund IX, L.P.","SonicWALL, Inc.","SonicWALL, Inc.","20100822: Thoma Bravo Fund IX, L.P.; SonicWALL, Inc."
2010-06-16,20100748,MFI Holding Corporation,"Thomas H. Lee Equity Fund V, L.P.","M-Foods Holdings, Inc.","20100748: MFI Holding Corporation; Thomas H. Lee Equity Fund V, L.P."
2010-06-25,20100797,ARYZTA AG,Lindsay Goldberg & Bessemer L.P.,"FSB Global Holdings, Inc.",20100797: ARYZTA AG; Lindsay Goldberg & Bessemer L.P.
2010-06-18,20100817,"TPG Vienna Holdings, LLC","Hellman & Friedman Capital Partners V, L.P.",VF Holding Corp.,"20100817: TPG Vienna Holdings, LLC; Hellman & Friedman Capital Partners V, L.P."
2010-06-16,20100712,Xcel Energy Inc.,Calpine Corporation,"Blue Spruce Energy Center, LLC; Rocky Mountain Energy Center, LLC",20100712: Xcel Energy Inc.; Calpine Corporation
2010-06-25,20100796,Noam Gottesman,Man Group plc,Man Group plc,20100796: Noam Gottesman; Man Group plc
2010-06-18,20100814,Spectra Energy Corp.,Energy Spectrum Partners IV LP,"CERITAS Gathering Company, LP",20100814: Spectra Energy Corp.; Energy Spectrum Partners IV LP
2010-06-15,20100794,TOTAL S.A.,"Amyris Biotechnologies, Inc.","Amyris Biotechnologies, Inc.","20100794: TOTAL S.A.; Amyris Biotechnologies, Inc."
2010-06-25,20100791,ABB Ltd.,K-TEK Holding Corp.,K-TEK Holding Corp.,20100791: ABB Ltd.; K-TEK Holding Corp.
2010-06-18,20100813,ConocoPhillips,Energy Spectrum Partners IV LP,"CERITAS Gathering Company, LP",20100813: ConocoPhillips; Energy Spectrum Partners IV LP
2010-06-15,20100792,"Warburg Pincus Private Equity X, L.P.",Sterling Financial Corporation,Sterling Financial Corporation,"20100792: Warburg Pincus Private Equity X, L.P.; Sterling Financial Corporation"
2010-06-25,20100774,United Technologies Corporation,"Sorenson Capital Partners, L.P.",LifePort Holding Corporation,"20100774: United Technologies Corporation; Sorenson Capital Partners, L.P."
2010-06-18,20100809,Centrica plc,"Clockwork Home Services, Inc.","Clockwork Home Services, Inc.","20100809: Centrica plc; Clockwork Home Services, Inc."
2010-06-15,20100789,Doyle Family Limited Partnership,Halton Co.,Halton Co.,20100789: Doyle Family Limited Partnership; Halton Co.
2010-06-25,20100764,"ConAgra Foods, Inc.",American Pie Holding Co.,American Pie LLC,"20100764: ConAgra Foods, Inc.; American Pie Holding Co."
2010-06-18,20100804,"BM&FBOVESPA S.A. - Bolsa de Valores, Mecadorias e Futuros",CME Group Inc.,CME Group Inc.,"20100804: BM&FBOVESPA S.A. - Bolsa de Valores, Mecadorias e Futuros; CME Group Inc."
2010-06-15,20100787,Terteling Holding Company,Halton Co.,Halton Co.,20100787: Terteling Holding Company; Halton Co.
2010-06-24,20100819,R3 Treatment Holdings Inc.,"Blue Sage Capital, L.P.","Controlled Recovery, Inc.; CRI Holdings, LLC","20100819: R3 Treatment Holdings Inc.; Blue Sage Capital, L.P."
2010-06-18,20100795,"Carlyle Global Financial Services Partners, LP","Hampton Roads Bankshares, Inc.","Hampton Roads Bankshares, Inc.","20100795: Carlyle Global Financial Services Partners, LP; Hampton Roads Bankshares, Inc."
2010-06-15,20100757,"Koch Industries, Inc.",George F. Landegger,"Alabama Pine Investments, Inc.; Alabama Pine Pulp Company, Inc.; Alabama River Chip Mills, Inc.; Alabama River Crude Tall Oil, Inc.; Alabama River Group, Inc.; Alabama River Pulp Company, Inc.; Alabama River Woodlands, Inc.; Independence Renewable Energy Corp.","20100757: Koch Industries, Inc.; George F. Landegger"
2010-06-24,20100816,"FS Equity Partners VI, L.P.",Behrman Capital II L.P.,"BECO Holding Company, Inc.","20100816: FS Equity Partners VI, L.P.; Behrman Capital II L.P."
2010-06-18,20100790,"Merit Medical Systems, Inc.","BioSphere Medical, Inc.","BioSphere Medical, Inc.","20100790: Merit Medical Systems, Inc.; BioSphere Medical, Inc."
2010-06-14,20100773,"Rakuten, Inc.",Scott A. Blum,Buy.com Inc.,"20100773: Rakuten, Inc.; Scott A. Blum"
2010-06-24,20100812,Primo Water Corporation,"Clayton, Dubilier & Rice Fund VI, L.P.","Culligan Store Solutions, LLC","20100812: Primo Water Corporation; Clayton, Dubilier & Rice Fund VI, L.P."
2010-06-17,20100750,"C. R. Bard, Inc.","SenoRx, Inc.","SenoRx, Inc.","20100750: C. R. Bard, Inc.; SenoRx, Inc."
2010-06-14,20100749,Harmonic Inc.,"Omneon, Inc.","Omneon, Inc.","20100749: Harmonic Inc.; Omneon, Inc."
2010-06-24,20100808,OCP Trust,Logibec Groupe Informatique Ltee,Logibec Groupe Informatique Ltee,20100808: OCP Trust; Logibec Groupe Informatique Ltee
2010-07-23,20100918,Bank of America Corporation,"Sentinel Capital Partners III, L.P.","Strategic Partners Holdings, Inc.","20100918: Bank of America Corporation; Sentinel Capital Partners III, L.P."
2010-07-20,20100881,POSCO,Daewoo International Corporation,Daewoo International Corporation,20100881: POSCO; Daewoo International Corporation
2010-07-12,20100827,"Providence Equity Partners VI, L.P.","Marsh & McLennan Companies, Inc.",Kroll Inc.,"20100827: Providence Equity Partners VI, L.P.; Marsh & McLennan Companies, Inc."
2010-07-23,20100916,"DCP Midstream Partners, L.P.",UGI Corporation,"Atlantic Energy, Inc.","20100916: DCP Midstream Partners, L.P.; UGI Corporation"
2010-07-20,20100872,EMC Corporation,"Greenplum, Inc.","Greenplum, Inc.","20100872: EMC Corporation; Greenplum, Inc."
2010-07-09,20100807,Caterpillar Inc.,"ElectroMotive Diesel, Inc.","ElectroMotive Diesel, Inc.","20100807: Caterpillar Inc.; ElectroMotive Diesel, Inc."
2010-07-23,20100908,"ZM Capital, L.P.","Alloy, Inc.","Alloy, Inc.","20100908: ZM Capital, L.P.; Alloy, Inc."
2010-07-19,20100888,"Genstar Capital Partners V, L.P.","Evolution Benefits, Inc.","Evolution Benefits, Inc.","20100888: Genstar Capital Partners V, L.P.; Evolution Benefits, Inc."
2010-07-08,20100666,Visa Inc.,CyberSource Corporation,CyberSource Corporation,20100666: Visa Inc.; CyberSource Corporation
2010-07-23,20100906,JSC Atomredmetzoloto,"Uranium One, Inc.","Uranium One, Inc.","20100906: JSC Atomredmetzoloto; Uranium One, Inc."
2010-07-19,20100883,The Boeing Company,"Argon ST, Inc.","Argon ST, Inc.","20100883: The Boeing Company; Argon ST, Inc."
2010-07-06,20100855,"Irving Place Capital Partners III, L.P.",Geoffrey Titherington,"Mold-Rite Plastics, LLC","20100855: Irving Place Capital Partners III, L.P.; Geoffrey Titherington"
2010-07-23,20100903,PPL Corporation,E.ON AG,E. ON U.S. LLC,20100903: PPL Corporation; E.ON AG
2010-07-16,20100890,Cliffs Natural Resources Inc.,"INR Energy, LLC","INR-1 Holdings, LLC","20100890: Cliffs Natural Resources Inc.; INR Energy, LLC"
2010-07-06,20100850,International Business Machines Corporation,"Coremetrics, Inc.","Coremetrics, Inc.","20100850: International Business Machines Corporation; Coremetrics, Inc."
2010-07-23,20100899,Crown Castle International Corp.,"NewPath Networks, Inc.","NewPath Networks, Inc.","20100899: Crown Castle International Corp.; NewPath Networks, Inc."
2010-07-16,20100885,AEA Investors 2006 Fund L.P.,"SFMM Holdings, Inc.","SFC Holdings, LLC; Shoes For Crews Canada Ltd.; Shoes For Crews, Inc.","20100885: AEA Investors 2006 Fund L.P.; SFMM Holdings, Inc."
2010-07-06,20100849,"Water Street Healthcare Partners II, L.P.","MBF Healthcare Partners, L.P.","Medical Specialties Distributors, LLC","20100849: Water Street Healthcare Partners II, L.P.; MBF Healthcare Partners, L.P."
2010-08-17,20100920,"Corn Products International, Inc.",Akzo Nobel N.V.,Brunob II BV; National Starch LLC,"20100920: Corn Products International, Inc.; Akzo Nobel N.V."
2010-08-06,20100955,NTELOS Holdings Corp.,One Communications Corp.,"Mountaineer Telecommunications, LLC",20100955: NTELOS Holdings Corp.; One Communications Corp.
2010-08-02,20100921,Patrick L. Eudy,"Cameron Communications, LLC","Cameron Communications, LLC","20100921: Patrick L. Eudy; Cameron Communications, LLC"
2010-08-17,20100346,Novartis AG,Nestle S.A.,"Alcon, Inc.",20100346: Novartis AG; Nestle S.A.
2010-08-06,20100632,Oracle Corporation,Phase Forward Incorporated,Phase Forward Incorporated,20100632: Oracle Corporation; Phase Forward Incorporated
2010-08-02,20100919,"Welsh, Carson, Anderson & Stowe XI, L.P.","K2M, Inc.","K2M, Inc.","20100919: Welsh, Carson, Anderson & Stowe XI, L.P.; K2M, Inc."
2010-08-13,20100987,General Motors Company,AmeriCredit Corp.,AmeriCredit Corp.,20100987: General Motors Company; AmeriCredit Corp.
2010-08-05,20100952,UnitedHealth Group Incorporated,"The Goldman Sachs Group, Inc.","Picis Solutions, Inc.","20100952: UnitedHealth Group Incorporated; The Goldman Sachs Group, Inc."
2010-07-30,20100904,PPL Corporation,Ameren Corporation,Electric Energy Inc.,20100904: PPL Corporation; Ameren Corporation
2010-08-13,20100985,"Green Equity Investors V, L.P.","Ares Corporate Opportunities Fund II, L.P.",AA Dental Management Holdings LLC,"20100985: Green Equity Investors V, L.P.; Ares Corporate Opportunities Fund II, L.P."
2010-08-05,20100939,"Magellan Midstream Partners, L.P.",BP p.l.c.,BP Pipeplines,"20100939: Magellan Midstream Partners, L.P.; BP p.l.c."
2010-07-30,20100884,Cott Corporation,Stanley A. Star,"Cliffstar Corporation; Harvest Classic LLC; ShanStar Biotech, Inc.; Star Realty Property; Star World Trading Company",20100884: Cott Corporation; Stanley A. Star
2010-08-13,20100977,AECOM Technology Corporation,"The Veritas Capital Fund II, L.P.",MT Holding Corp.,"20100977: AECOM Technology Corporation; The Veritas Capital Fund II, L.P."
2010-08-05,20100776,Viterra Inc.,"21C Holdings, L.P.","21C Holdings, L.P.","20100776: Viterra Inc.; 21C Holdings, L.P."
2010-07-27,20100911,Galaxy CF UST Investment Holdings LLC,Otera US Holding Inc.,CW Financial Services LLC,20100911: Galaxy CF UST Investment Holdings LLC; Otera US Holding Inc.
2010-08-13,20100976,Eaton Corporation,Wright Line Purchaser LLC,"Wright Line Holding, Inc.",20100976: Eaton Corporation; Wright Line Purchaser LLC
2010-08-04,20100907,"Abrams Capital Partners II, LP","Arbitron, Inc.","Arbitron, Inc.","20100907: Abrams Capital Partners II, LP; Arbitron, Inc."
2010-07-27,20100910,Galaxy PEF Holding LLC,Otera US Holding Inc.,CW Financial Services LLC,20100910: Galaxy PEF Holding LLC; Otera US Holding Inc.
2010-08-19,20100944,Griffon Corporation,"Castle Harlan Partners IV, L.P.","CHATT Holdings, Inc.","20100944: Griffon Corporation; Castle Harlan Partners IV, L.P."
2010-08-13,20100975,"First Reserve Fund XII, L.P.",Quicksilver Resources Inc.,Quicksilver Gas Services Holdings LLC,"20100975: First Reserve Fund XII, L.P.; Quicksilver Resources Inc."
2010-08-03,20100931,Apache Corporation,BP p.l.c.,BP America Production Company,20100931: Apache Corporation; BP p.l.c.
2010-07-27,20100456,Schlumberger N.V. (Schlumberger Limited),"Smith International, Inc.","Smith International, Inc.","20100456: Schlumberger N.V. (Schlumberger Limited); Smith International, Inc."
2010-08-19,20100839,Select Medical Holdings Corporation,"Waud Capital Partners, L.P.","Regency Hospital Company, L.L.C.","20100839: Select Medical Holdings Corporation; Waud Capital Partners, L.P."
2010-08-13,20100972,"Clayton, Dubilier & Rice Fund VIII, L.P.","Harrington Group, Inc.","Harrington Group, Inc.","20100972: Clayton, Dubilier & Rice Fund VIII, L.P.; Harrington Group, Inc."
2010-08-03,20100901,"Dr. Patrick Soon-Shiong, M.D.",Celgene Corporation,Celgene Corporation,"20100901: Dr. Patrick Soon-Shiong, M.D.; Celgene Corporation"
2010-07-26,20100924,"Thomas H. Lee Equity Fund VI, L.P.","Parthenon Investors II, L.P.",Intermedix Corporation,"20100924: Thomas H. Lee Equity Fund VI, L.P.; Parthenon Investors II, L.P."
2010-08-18,20100983,Tyco Electronics Ltd.,"ADC Telecommunications, Inc.","ADC Telecommunications, Inc.","20100983: Tyco Electronics Ltd.; ADC Telecommunications, Inc."
2010-08-13,20100970,Nippon Telegraph and Telephone Corporation,NextWave Wireless Inc.,PacketVideo Corporation,20100970: Nippon Telegraph and Telephone Corporation; NextWave Wireless Inc.
2010-08-03,20100900,Celgene Corporation,"Dr. Patrick Soon-Shiong, M.D.","Abraxis BioScience, Inc.","20100900: Celgene Corporation; Dr. Patrick Soon-Shiong, M.D."
2010-08-18,20100982,"ArcLight Energy Partners Fund III, L.P.","Key Energy Services, Inc.","Key Energy Services, Inc.","20100982: ArcLight Energy Partners Fund III, L.P.; Key Energy Services, Inc."
2010-08-13,20100969,"KRG Capital Fund IV, L.P.","Genstar Capital Partners IV, L.P.","Fort Dearborn Holdings, LLC","20100969: KRG Capital Fund IV, L.P.; Genstar Capital Partners IV, L.P."
2010-08-02,20100942,"Gores Capital Partners II, L.P.",NEC Holdings Corp.,National Envelope Corporation,"20100942: Gores Capital Partners II, L.P.; NEC Holdings Corp."
2010-08-27,20101020,Nokia Corporation,"Motorola, Inc.","Motorola, Inc.","20101020: Nokia Corporation; Motorola, Inc."
2010-08-20,20100997,The Walt Disney Company,"Playdom, Inc.","Playdom, Inc.","20100997: The Walt Disney Company; Playdom, Inc."
2010-09-03,20101046,GSW Sports LLC,Christopher Cohan,"Golden State Warriors, LLC",20101046: GSW Sports LLC; Christopher Cohan
2010-08-27,20101019,Pinafore Investment Cooperatief U.A.,Tomkins plc,Tomkins plc,20101019: Pinafore Investment Cooperatief U.A.; Tomkins plc
2010-08-20,20100994,Regency Energy Partners LP,"Zephyr Gas Services, LP","Zephyr Gas Services, LP","20100994: Regency Energy Partners LP; Zephyr Gas Services, LP"
2010-09-03,20101042,Mr. Shivinder Mohan Singh,Northgate Capital LP,Northgate Capital LP,20101042: Mr. Shivinder Mohan Singh; Northgate Capital LP
2010-08-27,20101002,Alfa S.A.B. de C.V.,Timothy T. Day,Bar-S Foods Co.,20101002: Alfa S.A.B. de C.V.; Timothy T. Day
