date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-03-02,20040463,Capital Environmental Resource Inc.,"Florida Recycling Services, Inc., an Illinois corporation","Florida Recycling Services, Inc., an Illinois corporation","20040463: Capital Environmental Resource Inc.; Florida Recycling Services, Inc., an Illinois corporation"
2004-02-24,20040492,Royal Bank of Scotland Group plc,People's Mutual Holdings,People's Bank,20040492: Royal Bank of Scotland Group plc; People's Mutual Holdings
2004-02-17,20040461,"Willis Stein & Partners III, L.P.",Brynwood Partners III L.P.,Lincoln Snacks Company,"20040461: Willis Stein & Partners III, L.P.; Brynwood Partners III L.P."
2004-02-27,20040522,"California Amplifier, Inc.",Vytek Corporation,Vytek Corporation,"20040522: California Amplifier, Inc.; Vytek Corporation"
2004-02-24,20040482,Citadel Broadcasting Corporation,Albert J. Kaneb,"KIX Broadcasting, Inc.; KOOL Broadcasting, Inc.",20040482: Citadel Broadcasting Corporation; Albert J. Kaneb
2004-02-17,20040460,Riverside Forest Products Limited,Timothy C. Kerr,Lignum Limited,20040460: Riverside Forest Products Limited; Timothy C. Kerr
2004-03-08,20040514,"I-trax, Inc.","Meridian Occupational Healthcare Associates, Inc.","Meridian Occupational Healthcare Associates, Inc.","20040514: I-trax, Inc.; Meridian Occupational Healthcare Associates, Inc."
2004-02-27,20040521,DaimlerChrysler AG,Mitsubishi Fuso Truck and Bus Corporation,Mitsubishi Fuso Truck and Bus Corporation,20040521: DaimlerChrysler AG; Mitsubishi Fuso Truck and Bus Corporation
2004-02-23,20040346,"Ryder System, Inc.",Ruan Financial Corporation,Ruan Leasing Company,"20040346: Ryder System, Inc.; Ruan Financial Corporation"
2004-02-17,20040459,Riverside Forest Products Limited,John C. Kerr,Lignum Limited,20040459: Riverside Forest Products Limited; John C. Kerr
2004-03-08,20040513,Swiss Reinsurance Company,Loews Corporation,CNA International Life Corp.; Continental Assurance Company,20040513: Swiss Reinsurance Company; Loews Corporation
2004-02-27,20040518,Kennametal Inc.,Conforma Clad Inc.,Conforma Clad Inc.,20040518: Kennametal Inc.; Conforma Clad Inc.
2004-02-19,20040479,"Peninsula Investment Partners, L.P.",Marshall W. Pagon,Pegasus Communications Corporation,"20040479: Peninsula Investment Partners, L.P.; Marshall W. Pagon"
2004-02-17,20040457,Cofra Holding AG,Garden Fresh Restaurant Corp.,Garden Fresh Restaurant Corp.,20040457: Cofra Holding AG; Garden Fresh Restaurant Corp.
2004-03-08,20040491,"American International Group, Inc.",El Paso Corporation,"Bonneville Pacific Corporation; Cambria Clean Coal, LLC; Dartmouth Power Holding Company, LLC; Vandolah Holding Company, LLC","20040491: American International Group, Inc.; El Paso Corporation"
2004-02-27,20040515,"GTCR Fund VIII, L.P.","Bonita Bay Holdings, Inc.","Prestige Brands International, Inc.","20040515: GTCR Fund VIII, L.P.; Bonita Bay Holdings, Inc."
